# class=rough
# date=20260426_012843
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
1178503,1736,535,8660,-41,-53,9,16
1178513,1577,669,8828,-112,72,20,17
1178523,1536,586,8435,-133,195,17,18
1178533,1314,542,8150,-81,234,3,19
1178543,1281,406,8186,-28,188,-8,20
1178553,958,1025,8338,-25,141,-17,21
1178563,1562,195,7976,-20,262,-25,22
1178573,2005,903,8111,72,288,-47,23
1178583,1832,769,8369,-32,351,-33,24
1178593,1887,698,8668,157,495,-55,25
1178603,1865,1311,8199,0,459,-10,26
1178613,1419,127,8631,233,248,-38,27
1178623,1722,824,8410,255,205,-35,28
1178633,1519,391,8467,17,205,0,29
1178643,1466,-140,8640,245,308,-44,30
1178653,1741,1004,8218,-65,382,1,31
1178663,2244,-113,8366,119,338,-24,32
1178673,2505,936,8631,186,292,-31,33
1178683,2159,-173,8988,101,238,-3,34
1178693,2065,475,8956,359,278,-49,35
1178703,1348,152,8317,61,111,-6,36
1178713,1199,-635,9263,425,4,-64,37
1178723,1564,994,9089,18,131,-15,38
1178733,2398,-636,8163,-17,279,-17,39
1178743,2390,351,8545,349,136,-80,40
1178753,2082,153,9043,-84,199,-25,41
1178763,1703,-651,9269,365,197,-110,42
1178773,1648,552,9097,83,-25,-66,43
1178783,1953,-357,8610,152,-21,-88,44
1178793,2010,-326,9219,433,-166,-141,45
1178803,1706,80,8242,15,42,-91,46
1178813,1598,-121,8376,145,165,-126,47
1178823,1475,-111,8671,82,113,-122,48
1178833,1708,-162,9042,211,68,-149,49
1178843,2362,82,8213,96,65,-136,50
1178853,1901,-578,8316,128,62,-144,51
1178863,2004,585,8271,1,78,-128,52
1178873,1572,-416,8354,30,72,-140,53
1178883,1641,-80,8616,184,17,-166,54
1178893,1318,-195,8522,68,-60,-156,55
1178903,1632,-348,8717,122,-15,-165,56
1178913,1984,-231,8637,23,130,-158,57
1178923,1972,408,8234,-89,260,-145,58
1178933,2121,-297,7956,25,214,-155,59
1178943,1720,-123,8608,189,-31,-167,60
1178953,1594,431,8769,65,-57,-142,61
1178963,1633,-415,8877,164,114,-165,62
1178973,1894,317,8448,-42,275,-135,63
1178983,1897,-185,8195,5,267,-138,64
1178993,1904,-92,7945,110,189,-143,65
1179003,1689,226,8322,8,79,-108,66
1179013,1529,-292,8211,83,126,-122,67
1179023,2016,225,8715,41,115,-103,68
1179033,1678,-172,8462,-78,276,-89,69
1179043,2016,-392,8232,-75,318,-87,70
1179053,1768,-62,8117,-92,136,-75,71
1179063,1911,-20,8393,-52,64,-79,72
1179073,2264,-238,8180,-75,135,-61,73
1179083,1687,238,8461,-138,142,-42,74
1179093,1605,-455,7751,-66,185,-53,75
1179103,1754,519,7918,-7,84,-53,76
1179113,2059,-315,8219,-82,84,-40,77
1179123,2393,106,8624,97,215,-63,78
1179133,2089,530,8253,-179,255,-17,79
1179143,1732,-630,8504,164,129,-75,80
1179153,1517,814,8653,94,-29,-51,81
1179163,1583,46,8259,11,73,-40,82
1179173,1733,271,8109,178,259,-66,83
1179183,1783,514,7812,-44,233,-36,84
1179193,1675,-521,8304,302,140,-98,85
1179203,1678,660,8368,153,70,-81,86
1179213,1768,-120,8255,62,165,-69,87
1179223,2275,187,7848,159,325,-73,88
1179233,1872,464,7898,-90,193,-22,89
1179243,1872,464,7898,-90,193,-22,90
1179253,1576,-247,8690,225,100,-63,91
1179263,1578,268,8031,84,113,-38,92
1179273,1890,-190,7815,14,124,-33,93
1179283,1635,-30,8063,-5,247,-17,94
1179293,1655,196,8320,-121,217,12,95
1179303,1976,-318,7887,9,227,-12,96
1179313,1957,-142,8211,-9,91,7,97
1179323,1860,86,8138,-123,164,17,98
1179333,1974,-588,7900,-91,228,1,99
1179343,1955,385,7498,-137,155,24,100
1179353,1497,-168,8017,-86,-15,22,101
1179363,1598,53,8056,21,33,-3,102
1179373,1894,17,7824,-165,78,11,103
1179383,1918,-152,8110,-58,141,-16,104
1179393,1837,509,7921,-176,89,5,105
1179403,1697,-490,7981,9,-100,-17,106
1179413,1522,368,8334,83,-159,-28,107
1179423,1831,309,8413,-159,-89,-8,108
1179433,2152,-264,7514,5,143,-53,109
1179443,1824,1047,7636,-245,3,-17,110
1179453,1377,-121,8173,4,-156,-54,111
1179463,1314,529,8168,210,-273,-84,112
1179473,883,659,8148,-66,-241,-55,113
1179483,1618,301,8536,184,-54,-113,114
1179493,1957,938,7697,-43,56,-90,115
1179503,2302,167,7252,120,-4,-112,116
1179513,1902,833,8193,170,-204,-107,117
1179523,1856,465,8909,182,-323,-94,118
1179533,1170,742,8207,246,-188,-101,119
1179543,1271,560,8496,75,-208,-81,120
1179553,2063,284,8666,140,-26,-99,121
1179563,2107,137,8366,93,10,-87,122
1179573,1978,-46,9083,92,-72,-71,123
1179583,2190,129,8471,37,24,-42,124
1179593,1920,103,9044,63,-68,-26,125
1179603,1907,-157,8979,2,63,-11,126
1179613,1785,-509,8810,-3,33,6,127
1179623,1644,-211,8916,-6,-90,25,128
1179633,1494,-289,8880,-65,-93,53,129
1179643,1905,-422,9136,-69,4,61,130
1179653,1828,-489,9202,-117,93,63,131
1179663,2044,39,8505,-134,181,70,132
1179673,1916,-413,8491,-130,83,72,133
1179683,1622,41,9137,44,4,55,134
1179693,1814,137,9342,-139,57,86,135
1179703,1709,-801,8812,45,207,56,136
1179713,2033,654,8462,-130,109,91,137
1179723,1721,-556,8573,-134,23,94,138
1179733,1605,587,8289,201,-28,45,139
1179743,1978,-174,8568,-149,-47,80,140
1179753,2265,-218,9021,162,142,18,141
1179763,1861,473,8330,-245,215,75,142
1179773,1515,-214,8113,-80,194,43,143
1179783,1317,641,8554,4,-14,25,144
1179793,1517,-30,8604,-21,-76,11,145
1179803,1745,536,8233,48,154,-14,146
1179813,2122,626,8146,-288,204,23,147
1179823,1972,-296,8066,-20,223,-26,148
1179833,2055,996,8175,-147,-29,7,149
1179843,1670,-391,8290,-35,-108,-10,150
1179853,1786,466,8356,-22,2,-13,151
1179863,2102,145,8322,-313,46,29,152
1179873,1956,-245,8205,-36,94,-12,153
1179883,1391,588,8395,-233,-115,26,154
1179893,1724,-373,8803,-50,-117,-12,155
1179903,2187,293,8470,-153,36,1,156
1179913,1714,67,8635,-330,105,29,157
1179923,1833,-99,8542,-134,108,8,158
1179933,1538,403,7833,-286,-26,48,159
1179943,1778,-249,8489,-37,-192,15,160
1179953,1875,472,8943,-106,-148,31,161
1179963,1533,80,8479,-242,48,51,162
1179973,1533,80,8479,-242,48,51,163
1179983,1615,10,7870,-127,123,33,164
1179993,2043,783,8639,-128,-130,40,165
1180003,2035,142,8558,21,-27,9,166
1180013,2003,248,8161,15,67,25,167
1180023,1651,655,8175,-102,13,52,168
1180033,1300,-69,8282,155,-17,8,169
1180043,1528,1037,8298,127,-82,8,170
1180053,1810,477,8540,114,36,-5,171
1180063,1721,846,7802,106,247,-12,172
1180073,1822,575,7525,41,89,-1,173
1180083,1892,1031,8530,326,-97,-47,174
1180093,1210,643,8335,234,-50,-28,175
1180103,1768,1095,7901,299,128,-41,176
1180113,1443,909,7718,146,151,-20,177
1180123,1172,380,7523,389,21,-62,178
1180133,1134,1108,8183,432,-127,-76,179
1180143,1980,536,8234,305,63,-68,180
1180153,2120,442,7568,389,284,-79,181
1180163,1545,1187,7805,241,105,-45,182
1180173,1464,-82,8321,612,5,-105,183
1180183,1400,1076,7618,568,34,-98,184
1180193,1524,-37,8484,383,32,-83,185
1180203,1834,551,8411,550,296,-122,186
1180213,1919,709,7748,280,274,-75,187
1180223,2015,-72,8527,600,145,-126,188
1180233,1630,709,8296,425,15,-90,189
1180243,1570,-856,8705,542,-72,-106,190
1180253,2017,43,8560,449,157,-97,191
1180263,2142,-562,8668,213,190,-59,192
1180273,2504,-504,8379,406,237,-96,193
1180283,1910,-607,8614,228,-19,-51,194
1180293,1465,-795,9040,338,-87,-59,195
1180303,1657,-475,9049,203,-20,-45,196
1180313,2145,-1677,8456,141,174,-33,197
1180323,1539,-308,8650,-49,225,-11,198
1180333,1905,-1081,8442,-213,132,8,199
1180343,1968,-934,8725,232,-140,-55,200
1180353,2126,-57,8679,-127,-268,-7,201
1180363,1714,-1329,9109,150,-111,-46,202
1180373,1626,-507,8894,109,-42,-37,203
1180383,1906,-529,8235,-270,138,3,204
1180393,1656,-1116,8693,64,126,-59,205
1180403,1932,-283,8411,-5,-21,-56,206
1180413,1967,-419,8344,-70,-78,-53,207
