# class=rough
# date=20260426_012003
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
650023,1983,14,8287,147,47,-27,160
650033,2025,-716,8599,288,40,-53,161
650043,2442,517,8096,129,85,-30,162
650053,2363,-440,8126,153,87,-37,163
650063,2719,142,8538,261,110,-71,164
650073,2725,65,8346,58,99,-55,165
650083,2630,-50,8301,228,108,-109,166
650093,2155,684,8606,19,3,-71,167
650103,1661,-328,8662,93,-17,-79,168
650113,2044,393,8288,55,22,-70,169
650123,1858,-221,8394,-126,28,-39,170
650133,1858,-221,8394,-126,28,-39,171
650143,2255,-293,8716,-30,122,-66,172
650153,2222,369,7973,-330,141,-27,173
650163,2108,-974,8473,-158,7,-49,174
650173,2391,730,8659,-300,-6,-30,175
650183,1934,-651,8607,-435,-28,-19,176
650193,1772,-61,8876,-166,22,-60,177
650203,1546,644,8326,-544,-44,14,178
650213,1757,-1373,8521,-166,-57,-39,179
650223,2267,1228,8808,-365,-36,8,180
650233,1911,-646,8306,-516,83,26,181
650243,1997,15,8382,-64,112,-42,182
650253,1995,840,8315,-505,-93,46,183
650263,1713,-771,8840,-54,-69,-35,184
650273,1860,1072,8806,-252,3,5,185
650283,1771,-85,8273,-404,34,25,186
650293,1712,509,8074,-62,71,-23,187
650303,1442,913,8672,-357,-130,38,188
650313,1647,-134,8616,-60,39,-17,189
650323,2056,997,8282,-259,130,17,190
650333,2043,424,8078,-340,128,34,191
650343,1958,682,8227,-76,138,-17,192
650353,2064,1193,8497,-305,-27,24,193
650363,1840,79,8557,-57,91,-23,194
650373,1984,1106,8360,-224,141,4,195
650383,1766,349,8089,-238,137,5,196
650393,1737,801,8003,-96,163,-18,197
650403,2090,761,8281,-235,70,-2,198
650413,2261,621,8472,-92,189,-34,199
650423,2333,684,8478,-220,238,-17,200
650433,2412,634,8235,-137,228,-40,201
650443,2106,901,8245,-134,127,-37,202
650453,2160,309,8588,-52,68,-45,203
650463,2001,1123,8354,-83,183,-50,204
650473,2037,313,8310,-125,172,-47,205
650483,2422,741,8557,75,221,-83,206
650493,2150,1193,8421,-125,159,-46,207
650503,2598,108,8513,100,220,-89,208
650513,2696,1170,8228,15,225,-76,209
650523,2412,662,8289,12,95,-72,210
650533,2452,319,8579,251,153,-114,211
650543,2030,1274,8649,32,56,-74,212
650553,2386,277,8317,135,162,-87,213
650563,2422,752,8623,203,158,-91,214
650573,2318,917,8521,9,90,-55,215
650583,2691,80,8495,254,170,-94,216
650593,2665,1018,8527,85,99,-63,217
650603,2467,480,8632,105,78,-66,218
