# class=rough
# date=20260426_013933
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
1836023,1656,-73,8518,-9,-148,-149,232
1836033,1701,42,8180,52,-88,-150,233
1836043,1683,44,8238,29,-181,-137,234
1836053,1682,-22,8365,83,-175,-145,235
1836063,1740,88,8283,34,-131,-136,236
1836073,1739,35,8408,17,-121,-129,237
1836083,1731,75,8216,21,-124,-125,238
1836093,1581,65,8212,11,-208,-121,239
1836103,1594,-76,8399,54,-214,-127,240
1836113,1605,244,8237,-14,-155,-122,241
1836123,1467,152,8129,-23,-126,-134,242
1836133,1344,236,8190,31,-170,-146,243
1836143,1341,260,8321,45,-249,-147,244
1836153,1418,169,8299,97,-187,-162,245
1836163,1459,433,8229,30,-131,-157,246
1836173,1374,434,8058,49,-132,-172,247
1836183,1347,411,8111,118,-203,-200,248
1836193,1321,442,8557,150,-297,-214,249
1836203,1370,434,8313,121,-199,-223,250
1836213,1455,353,8240,77,-123,-217,251
1836223,1502,437,8313,56,-110,-213,252
1836233,1431,294,8228,99,-164,-225,253
1836243,1581,207,8350,139,-216,-233,254
1836253,1751,393,8487,72,-168,-225,255
1836263,1651,8,8296,66,-95,-217,0
1836273,1492,372,8538,66,-164,-206,1
1836283,1281,-168,8878,90,-206,-198,2
1836293,1532,-94,8725,99,-141,-192,3
1836303,1782,-288,8662,-25,-41,-173,4
1836313,1881,-356,8654,-34,22,-164,5
1836323,1619,-206,8690,-53,-58,-143,6
1836333,1686,-509,8918,12,-137,-132,7
1836343,1849,-299,8795,-34,-67,-109,8
1836353,1773,-525,8650,-119,11,-88,9
1836363,1932,-608,8639,-131,57,-76,10
1836373,1932,-608,8639,-131,57,-76,11
1836383,1865,-660,8786,-120,-23,-59,12
1836393,1780,-725,8828,-108,-34,-55,13
1836403,1817,-872,9044,-204,18,-33,14
1836413,2136,-442,8691,-257,106,-27,15
1836423,1966,-631,8740,-294,37,-23,16
1836433,1976,-708,8825,-236,44,-29,17
1836443,1893,-553,8896,-347,-16,-16,18
1836453,2150,-523,8575,-340,41,-24,19
1836463,2035,-721,8630,-390,42,-23,20
1836473,2010,-224,8609,-448,53,-31,21
1836483,1846,-441,8333,-477,52,-43,22
1836493,1647,-307,8598,-390,-81,-67,23
1836503,1717,102,8730,-496,-67,-68,24
1836513,1874,-111,8672,-473,14,-92,25
1836523,1925,291,8634,-489,30,-108,26
1836533,1795,341,8467,-552,33,-115,27
1836543,1639,250,8343,-467,-4,-144,28
1836553,1634,371,8427,-457,-107,-154,29
1836563,1537,387,8679,-430,-104,-173,30
1836573,1746,410,8278,-520,39,-177,31
1836583,1784,555,8140,-548,54,-179,32
1836593,1607,799,8136,-528,-48,-186,33
1836603,1479,538,8191,-417,-160,-196,34
1836613,1572,629,8307,-362,-204,-198,35
1836623,1462,443,8861,-351,-122,-203,36
1836633,1741,662,8057,-502,242,-185,37
1836643,1717,1126,7853,-485,157,-175,38
1836653,1386,920,8537,-222,-62,-190,39
1836663,1388,576,8513,-208,40,-174,40
1836673,1694,773,7986,-344,214,-127,41
1836683,1769,919,7829,-380,137,-107,42
1836693,1734,623,8101,-135,-90,-128,43
1836703,1749,726,8080,-192,-114,-95,44
1836713,1539,927,8369,-240,-71,-73,45
1836723,1569,611,8099,-189,38,-69,46
1836733,1594,1068,8168,-103,-5,-74,47
1836743,1569,805,8201,-136,-23,-62,48
1836753,1445,539,8335,-3,3,-77,49
1836763,1449,1002,8302,-78,17,-61,50
1836773,1551,542,8317,8,27,-70,51
1836783,1746,662,8247,45,68,-80,52
1836793,1667,1019,8224,-56,76,-75,53
1836803,1430,553,8375,51,60,-99,54
1836813,1458,685,8338,94,27,-110,55
1836823,1540,760,8310,53,18,-109,56
1836833,1526,472,8180,72,104,-124,57
1836843,1552,700,8244,48,119,-132,58
1836853,1716,527,8095,-15,145,-134,59
1836863,1640,447,8222,41,37,-152,60
1836873,1593,665,8229,47,-166,-155,61
1836883,1480,527,8490,105,-216,-173,62
1836893,1493,4,8480,200,-69,-209,63
1836903,1560,407,8195,90,229,-217,64
1836913,1631,678,7835,-64,243,-190,65
1836923,1508,27,8332,254,-28,-239,66
1836933,1564,181,8407,214,-69,-230,67
1836943,1603,337,8508,39,37,-213,68
1836953,1495,40,8200,48,161,-223,69
1836963,1493,230,8129,53,69,-212,70
1836973,1357,-21,8454,83,-42,-211,71
1836983,1511,62,8190,89,-16,-207,72
1836993,1606,61,8304,-5,8,-188,73
1837003,1710,31,8305,-22,88,-183,74
1837013,1701,87,8527,-28,32,-178,75
1837023,1836,-34,8453,-22,27,-168,76
1837033,2018,-13,8353,-15,-9,-161,77
1837043,1701,11,8562,-65,-45,-140,78
1837053,1593,-124,8527,-51,-7,-138,79
1837063,1894,68,8434,-71,6,-132,80
1837073,1804,71,8653,-103,-7,-122,81
