# class=rough
# date=20260426_015416
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
2731423,1974,39,8381,115,239,-39,172
2731433,1669,664,7900,-70,107,-3,173
2731443,1586,-160,8567,149,-86,-41,174
2731453,1272,274,8638,206,-114,-45,175
2731463,1514,323,8373,-28,-36,-14,176
2731473,1981,-187,7684,30,270,-42,177
2731483,2213,410,7723,-63,128,-22,178
2731493,1768,379,7766,70,-70,-44,179
2731503,1160,-5,9401,171,-235,-41,180
2731513,1420,187,9430,57,-60,-16,181
2731523,1582,168,8240,13,195,-24,182
2731533,1723,-94,7959,-11,149,-22,183
2731543,1830,311,8194,115,-26,-39,184
2731553,1917,402,8070,88,-99,-31,185
2731563,1764,-354,9055,192,-105,-37,186
2731573,1581,1046,8710,17,168,-17,187
2731583,1713,-239,8409,-5,101,-25,188
2731593,2053,522,8373,238,39,-62,189
2731603,1631,235,8179,8,-110,-20,190
2731613,2040,-234,8626,262,-17,-61,191
2731623,1950,765,8623,-52,123,-13,192
2731633,1255,-139,8442,58,124,-34,193
2731643,1562,524,8116,140,72,-51,194
2731653,2009,-5,8420,57,-112,-32,195
2731663,1870,164,7694,170,53,-47,196
2731673,1767,218,8466,-103,94,-3,197
2731683,1987,139,8473,5,195,-17,198
2731693,1624,40,8048,56,14,-28,199
2731703,1043,123,9081,149,-207,-41,200
2731713,1689,222,8739,97,101,-36,201
2731723,1865,204,7706,4,254,-25,202
2731733,2020,517,7897,3,151,-26,203
2731743,1587,32,8248,133,-5,-36,204
2731753,1807,192,8381,225,-120,-46,205
2731763,1489,422,8420,81,-24,-26,206
2731773,1705,-91,8809,81,115,-25,207
2731783,1769,548,8221,19,146,-17,208
2731793,1533,360,8462,48,-18,-34,209
2731803,1770,77,8278,175,-29,-52,210
2731813,1817,634,8367,44,-67,-31,211
2731823,1817,634,8367,44,-67,-31,212
2731833,1527,41,8923,83,8,-38,213
2731843,1550,346,8829,62,77,-30,214
2731853,1950,56,8366,147,25,-51,215
2731863,1688,733,8124,74,-58,-48,216
2731873,1741,-437,8095,165,-58,-55,217
2731883,1787,800,8619,161,-49,-42,218
2731893,1737,6,7817,12,42,-27,219
2731903,1787,-57,8261,236,39,-54,220
2731913,1546,622,8646,-2,-100,-17,221
2731923,1307,-545,8557,243,-70,-58,222
