# class=smooth
# date=20260426_040916
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
2724713,2502,-729,8281,-234,309,-258,13
2724723,2446,841,7788,-537,400,-186,14
2724733,1818,-1243,8516,-162,368,-245,15
2724743,2824,335,7812,-255,531,-187,16
2724753,1990,-221,8755,-347,265,-154,17
2724763,2401,-678,7252,-48,486,-211,18
2724773,2185,-405,8624,-218,106,-148,19
2724783,2654,167,8469,-192,314,-148,20
2724793,2936,220,8908,-233,445,-148,21
2724803,2804,449,8230,-205,538,-154,22
2724813,2194,870,8421,24,187,-189,23
2724823,1483,430,8128,217,-55,-200,24
2724833,2196,484,8378,261,11,-177,25
2724843,3308,885,8771,-277,397,-86,26
2724853,3339,343,8228,-218,776,-144,27
2724863,1907,872,8573,-44,263,-181,28
2724873,1871,486,8217,121,-393,-190,29
2724883,2469,176,9507,461,-519,-239,30
2724893,2872,1068,8563,-140,168,-130,31
2724903,2601,262,7973,-350,730,-129,32
2724913,2679,127,7952,-55,400,-183,33
2724923,2230,576,8150,81,-526,-184,34
2724933,2224,-33,8870,416,-845,-245,35
2724943,2741,222,8786,94,-148,-193,36
2724953,2849,-73,7688,-250,482,-138,37
2724963,2813,205,7328,-20,343,-179,38
2724973,2120,121,8074,103,-444,-188,39
2724983,1760,-963,8960,535,-799,-263,40
2724993,2096,-132,7686,186,-410,-177,41
2725003,2637,-1178,8759,-145,-112,-107,42
2725013,2508,162,6712,-181,510,-107,43
2725023,1323,229,7181,-316,-293,-71,44
2725033,2247,-757,8385,241,-816,-179,45
2725043,2764,22,7197,141,-476,-174,46
2725053,2811,-226,8943,-167,-396,-107,47
2725063,2164,34,7785,27,41,-157,48
2725073,1294,735,8366,-116,-420,-104,49
2725083,1805,-551,9185,451,-718,-221,50
2725093,2458,1034,7393,234,-231,-195,51
2725103,3223,-1170,8922,-302,-224,-74,52
2725113,3181,760,7462,120,369,-169,53
2725123,1446,496,8477,-324,-462,-79,54
2725133,1710,-1428,8780,359,-693,-213,55
2725143,2199,1658,9460,109,-590,-154,56
2725153,2352,-985,9464,-423,-62,-78,57
2725163,2939,224,7541,134,565,-195,58
2725173,1952,1038,7761,-662,-100,-10,59
2725183,1929,-1879,10387,246,-601,-191,60
2725193,2265,1392,7370,31,-85,-149,61
2725203,2022,-932,10432,-606,-569,-17,62
2725213,2772,-369,8162,159,623,-173,63
2725223,2251,1730,8170,-709,175,23,64
2725233,1682,-1237,9351,-6,-261,-105,65
2725243,1682,-1237,9351,-6,-261,-105,66
2725253,2194,1227,8502,361,39,-166,67
2725263,2382,-5,9740,-428,-419,13,68
