# class=smooth
# date=20260426_033851
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
873953,80,848,8783,132,-229,-102,25
873963,2218,-23,9169,7,70,-102,26
873973,3726,-966,6943,-51,308,-95,27
873983,414,761,7888,-108,52,-74,28
873993,1388,519,9382,-29,17,-105,29
874003,3933,-1022,7222,21,180,-119,30
874013,768,398,7554,34,-191,-95,31
874023,696,663,9814,-46,-36,-86,32
874033,3920,-714,7347,-118,492,-103,33
874043,2255,90,6705,-77,69,-92,34
874053,31,738,9627,59,-251,-103,35
874063,2875,-493,9397,47,39,-111,36
874073,2765,-182,6883,4,228,-106,37
874083,500,824,8657,-42,-15,-81,38
874093,2292,-363,8757,-32,244,-104,39
874103,2942,-71,7033,61,116,-122,40
874113,1045,513,8446,121,-221,-116,41
874123,1575,-56,8764,75,114,-116,42
874133,2703,106,7512,-48,274,-98,43
874143,2285,310,7662,-12,136,-102,44
874153,1460,-536,9132,85,-80,-121,45
874163,1499,718,8088,62,40,-110,46
874173,2539,-237,8633,22,2,-109,47
874183,2473,60,7875,10,285,-114,48
874193,879,10,8139,-142,70,-80,49
874203,2282,369,8656,200,73,-139,50
874213,2715,91,8304,-84,-7,-89,51
874223,972,-737,8557,101,-14,-122,52
874233,2174,1359,8302,-103,325,-88,53
874243,3153,-848,8451,-101,89,-94,54
874253,1153,239,7548,213,61,-135,55
874263,847,695,9427,-141,-266,-66,56
874273,3576,-696,8682,197,208,-135,57
874283,1777,373,7171,-198,278,-64,58
874293,561,2,9454,-63,-133,-82,59
874303,3446,222,8492,182,241,-129,60
874313,1946,-177,8004,-38,-231,-85,61
874323,476,66,8483,138,-14,-113,62
874333,3167,367,9290,-100,236,-81,63
874343,2722,-438,7427,-47,214,-109,64
874353,308,477,7134,125,-97,-123,65
874363,2210,1,9477,86,-274,-111,66
874373,3580,-259,7950,80,183,-127,67
874383,313,190,7143,-73,104,-97,68
874393,1783,223,10008,-34,-53,-89,69
874403,3432,195,7843,86,249,-138,70
874413,1252,-449,7248,58,-264,-120,71
874423,1061,392,9614,95,-182,-113,72
874433,3188,106,8811,-88,291,-105,73
874443,2163,-228,6943,7,265,-119,74
874453,978,310,9074,7,-167,-106,75
874463,2307,65,9003,117,-90,-132,76
874473,2472,-416,7870,149,15,-142,77
874483,1125,237,8514,-63,14,-96,78
874493,2292,113,8652,-144,259,-91,79
874503,2703,-498,8355,62,128,-120,80
874513,1136,789,8515,15,-196,-109,81
874523,1615,-477,9177,60,-124,-127,82
874533,2850,-38,8463,40,206,-118,83
874543,2850,-38,8463,40,206,-118,84
874553,1578,399,8462,-241,112,-84,85
874563,1548,-368,8079,127,144,-152,86
874573,2626,408,7813,9,-64,-120,87
874583,1938,-476,9403,89,-256,-135,88
874593,1533,409,8397,30,235,-124,89
874603,2556,48,8508,-131,123,-99,90
874613,2159,-263,8206,150,102,-153,91
874623,1290,269,8628,16,-168,-124,92
874633,2332,-315,8854,100,-3,-141,93
874643,2525,131,7983,30,208,-130,94
874653,1492,174,8004,-116,46,-106,95
874663,1854,-255,8534,122,34,-140,96
874673,2417,361,8174,14,26,-126,97
874683,2180,-329,8846,63,-43,-143,98
874693,1803,333,8036,61,154,-134,99
874703,2012,-93,8417,-68,5,-108,100
874713,2461,-119,8340,122,80,-144,101
874723,1443,189,8115,-32,-29,-117,102
874733,2288,-466,8426,54,5,-132,103
874743,2377,-25,7990,-36,212,-117,104
874753,1819,203,8855,-77,17,-105,105
874763,2187,128,7798,28,164,-134,106
874773,2145,-345,8729,52,-120,-135,107
874783,1891,436,8316,41,62,-127,108
874793,2006,-143,8569,-41,114,-115,109
874803,2792,115,8173,-49,252,-117,110
874813,2001,190,8350,-31,54,-116,111
874823,2124,-159,8241,72,-37,-129,112
874833,1306,92,8980,140,-72,-139,113
874843,2506,249,8199,-187,162,-85,114
874853,2563,-1241,8813,53,199,-136,115
874863,1877,1500,7649,-142,221,-85,116
874873,1809,-782,9546,7,-214,-125,117
874883,2946,-77,7264,236,206,-164,118
874893,843,440,8859,-170,-211,-73,119
874903,1917,-250,8615,160,280,-147,120
874913,3562,-122,6732,-193,339,-94,121
874923,1384,117,8680,66,-234,-126,122
874933,1352,818,8636,105,95,-145,123
874943,3421,-727,8253,-76,-3,-117,124
874953,1972,468,7579,97,156,-136,125
874963,605,485,8777,-132,-37,-90,126
874973,3384,-765,8091,98,174,-148,127
874983,2405,447,7512,-75,11,-109,128
874993,856,19,9552,41,-179,-124,129
875003,3140,54,7605,-39,391,-130,130
875013,2534,-446,8173,-50,-121,-109,131
875023,671,766,8547,126,-14,-133,132
875033,2467,-389,9028,-91,-22,-111,133
875043,3178,-257,7389,83,209,-134,134
875053,829,727,8749,-78,-67,-105,135
875063,2394,-33,8737,47,68,-138,136
875073,2738,-301,7728,76,21,-125,137
875083,961,442,8049,44,-166,-115,138
875093,2037,-362,9494,-97,102,-109,139
875103,3264,-407,6383,5,412,-143,140
875113,1623,893,8631,-114,-180,-108,141
875123,1068,-565,9335,162,-115,-152,142
875133,2518,677,6753,106,175,-143,143
875143,2459,-695,8972,-101,-194,-108,144
875153,1392,951,8806,158,383,-163,145
875163,1985,-91,7135,-238,160,-99,146
875173,2976,-41,8880,355,-109,-185,147
875183,1814,204,8871,-76,-122,-103,148
875193,1355,-354,8161,185,59,-152,149
875203,2718,740,8351,-107,242,-109,150
875213,2443,-912,9081,-65,35,-120,151
875223,1326,603,6924,148,232,-161,152
